id,arxiv,title,authors,venue,venue_type,year,code_url,one_line_en,tags,relevance(1-5),reason
N-GFN-01,2606.16073,Stop the Sampler! Classifier-Based Adaptive Stopping for Sampling Kernels,"Kirill Korolev, Nikita Morozov, Stepan Pavlenko, Esmeralda S. Whitammer, Sergey Samsonov","ICML 2026 SPIGM Workshop (Workshop, per arXiv comment)",workshop,2026,unknown,"Learns a state-dependent stopping classifier inside the non-acyclic GFlowNet framework so MCMC-style trajectories terminate on their own, cutting average trajectory length.",non-acyclic;min-flow;termination;mcmc;sampler;downloaded,5,"Same lab as O07/O08; it optimises the same object (expected trajectory length under a non-acyclic flow) but through a learned terminal transition. Any residual-to-OT-gap bound must cover this stopping rule, and its multilevel training is a ready-made trick for the permutation environment."
N-GFN-02,2510.21886,Exploration through Generation: Applying GFlowNets to Structured Search,Mark Phillip Matovic,"arXiv preprint (comment has no venue, unverified)",preprint,2025,unknown,"Applies trajectory-balance GFlowNets to shortest path, minimum spanning tree and TSP on small benchmark graphs and reports agreement with Dijkstra, Kruskal and exact solvers.",shortest-path;tsp;mst;combinatorial;trajectory-balance,4,"Only other 2025-2026 paper that puts GFlowNets and shortest path in the same sentence. Weak evidence (small explicit graphs, no theory), but it is the paper a reviewer will cite to ask why O07/O08 are new, so the boundary must be argued explicitly."
N-GFN-03,2509.20408,A Theory of Multi-Agent Generative Flow Networks,"Leo Maxime Brunswic, Haozhi Wang, Shuang Luo, Jianye Hao, Amir Rasouli, et al.","Accepted at SPIGM Workshop NeurIPS 2025 (Workshop, per arXiv comment)",workshop,2025,unknown,"Builds a theory of multi-agent GFlowNets with centralized, independent, joint and conditional flow networks, proving that local flows can be trained as one global flow.",multi-agent;flow-matching;theory;mean-field-adjacent,4,"The local-global principle is the closest existing GFlowNet analogue of the mean-field / congestion cost that GSBoG (C02) has and O08 lacks. If we want a distribution-dependent flow penalty, this is the prior art to cite and to beat."
N-GFN-04,2505.03561,Ergodic Generative Flows,"Leo Maxime Brunswic, Mateo Clemente, Rui Heng Yang, Adam Sigal, Amir Rasouli, et al.",ICML 2025 (per arXiv comment),main,2025,unknown,Ergodic Generative Flows use finitely many globally defined diffeomorphisms to make flow-matching loss tractable in continuous settings and add a KL-weak-FM loss for imitation learning.,non-acyclic;continuous;flow-matching;ergodicity;imitation,4,"Brunswic et al. again, the T19 lineage. It is the main 2025 attempt at non-acyclic training outside discrete graphs and shows what breaks when the state space stops being finite - the exact regime our weighted-cost extension would enter."
N-GFN-05,2602.01749,Controlling Exploration-Exploitation in GFlowNets via Markov Chain Perspectives,"Lin Chen, Samuel Drapeau, Fanghao Shao, Xuekai Zhu, Bo Xue, et al.","arXiv preprint (comment empty, unverified)",preprint,2026,unknown,"Shows GFlowNet objectives are equivalent to reversibility of an induced Markov chain and introduces alpha-GFN, which tunes the forward/backward mixing ratio.",theory;markov-chain;reversibility;exploration;objective,4,"Reversibility is exactly the structure O08 exploits when it turns detailed balance into a linear flow constraint. If the mixing ratio is a free parameter, the minimum-flow LP may not be unique any more; worth checking before claiming the LP has a canonical solution."
N-GFN-06,2503.14549,Sampling Decisions: Exact Path-Space Control for Physics-Informed Generative Sampling,"Michael Chertkov, Hamidreza Behjoo, Sungsoo Ahn","arXiv preprint (comment has no venue, unverified)",preprint,2025,unknown,"Frames sequential structured generation as an exact path-space control problem, with the corrected law given by a Doob h-transform and identified as a one-sided Schrodinger transport and an ideal GFlowNet flow function.",path-space-control;schrodinger;doob-h-transform;gibbs;theory,4,Gives the missing dictionary between GFlowNet flow functions and one-sided Schrodinger bridges on a growing state graph. This is the technical bridge needed to make the epsilon>0 version of the GFN-OT objective rigorous instead of hand-waved.
N-GFN-07,2605.01729,Stable GFlowNets with TV Monitoring and Probabilistic Guarantees,"Zengxiang Lei, Ananth Shreekumar, Jonathan Rosenthal, Ruoyu Song, Alvaro A. Cardenas, et al.","arXiv preprint (comment empty, unverified)",preprint,2026,unknown,"Proves that a small total-variation gap does not bound the trajectory-balance loss, then derives converse loss-to-TV bounds and a Stable-GFlowNet training scheme with an adaptive reference flow.",stability;tv-bound;certificate;trajectory-balance;theory;downloaded,5,"Closest prior art to our topic 1 (balance residual to error bound). It supplies the loss-to-TV half; what is still missing, and what we would add, is TV-to-transport-cost via OT stability in the marginals. Not downloaded because it never touches OT or shortest paths."
N-GFN-08,2606.15793,Proximal Policy Optimization for Amortized Discrete Sampling,"Anna Zykova-Myzina, Timofei Gritsaev, Daniil Tiapkin, Nikita Morozov","arXiv preprint (comment empty, unverified)",preprint,2026,unknown,"Derives policy-gradient equivalents for GFlowNet training and is the first to apply proximal policy optimization, reporting faster convergence than standard GFlowNet objectives.",policy-gradient;ppo;entropy-regularized-rl;training,4,"Written by the O07/O08 authors. If PPO beats regularized TB on molecular graphs it probably also beats it on the permutation OT environment, so it is the training baseline our experiments must include rather than defaulting to TB."
N-GFN-09,2605.15417,"$f$-Trajectory Balance: A Loss Family for Tuning GFlowNets, Generative Models, and LLMs with Off- and On-Policy Data","Jake Fawkes, Jason Hartford",ICML 2026 (per arXiv comment),main,2026,unknown,"Extends the trajectory-balance surrogate to the whole family of f-divergences, so on-policy gradients match the chosen f-divergence while the off-policy global minimizer is unchanged.",objective;f-divergence;off-policy;trajectory-balance;theory,4,"Tells us which divergence the TB residual is actually controlling. Any residual-to-OT-gap statement is divergence-specific, so we need this taxonomy before writing the bound."
N-GFN-10,2603.01047,Evaluating GFlowNet from partial episodes for stable and flexible policy-based training,"Puhua Niu, Shili Wu, Xiaoning Qian",ICLR 2026 (per arXiv comment),main,2026,unknown,Shows flow balance also yields a policy evaluator and proposes an evaluation-balance objective over partial episodes that supports parameterized backward policies and offline data.,evaluation-balance;partial-episodes;policy-based;backward-policy,4,Directly relevant to whether the backward policy can stay learnable in the min-flow setting. O08 parameterizes P_B; this paper is the 2026 reference on what that costs in stability.
