id,arxiv,title,authors,venue,venue_type,year,code_url,one_line_en,tags,relevance(1-5),reason
N-OT-01,2606.16273,Generative Modeling on Metric Graphs via Neural Optimal Transport,"Alessandro Micheli, Yueqi Cao, Anthea Monod, Samir Bhatt","arXiv preprint (comment empty, unverified)",preprint,2026,unknown,"First deep generative framework for measures supported on compact metric graphs: embeds the graph, solves an entropic Kantorovich problem with a neural semidual parameterization, projects back, and proves weak convergence to a valid coupling.",graph-ot;metric-graph;neural-ot;entropic;semidual;theory;downloaded,5,"The most direct competitor to the O08 claim of applying neural learning to OT on large graphs. Differences we must state explicitly: metric graph with continuous edges versus discrete state graph, entropic versus unregularized, plan versus executable routing policy."
N-OT-02,2601.20203,Minimum-Cost Network Flow with Dual Predictions,"Zhiyang Chen, Hailong Yao, Xia Yin",AAAI 2026 (per arXiv comment),main,2026,unknown,"First minimum-cost network flow algorithm augmented with a learned dual prediction, built on epsilon-relaxation, with running-time bounds in the infinity-norm prediction error and PAC sample complexity for the predictor.",min-cost-flow;dual-prediction;learning-augmented;epsilon-relaxation;theory;downloaded,5,"This is the learned-dual-potential idea from the O08 report section 7.3, already published for classical min-cost flow. It occupies the warm-start framing, so our contribution has to be the certificate (complementary slackness monitoring) rather than the speedup."
N-OT-03,2502.00739,An Efficient Orlicz-Sobolev Approach for Transporting Unbalanced Measures on a Graph,"Tam Le, Truyen Nguyen, Hideitsu Hino, Kenji Fukumizu",NeurIPS 2025 Spotlight (per arXiv comment),main,2025,unknown,"Introduces Orlicz entropy partial transport and Orlicz-Sobolev transport for measures of different total mass on graph metric spaces, computable by solving a single univariate optimization problem.",graph-ot;unbalanced;orlicz;entropy-partial-transport;scalable;downloaded,5,"Answers exactly the gap flagged in the O08 report section 7.6: unbalanced OT on graphs. It is fast and has theory, so a GFlowNet unbalanced extension needs a reason to exist beyond being unbalanced."
N-OT-04,2603.19755,Regularity of Solutions to Beckmann's Parametric Optimal Transport,"Hanno Gottschalk, Tobias J. Riedlinger","arXiv preprint (comment has no venue, unverified)",preprint,2026,unknown,"Develops Holder regularity theory for Beckmann's problem through an unconstrained Lagrangian, showing the multiplier enforcing the divergence constraint solves a Poisson equation and the flux is its gradient, with joint parameter regularity for conditional targets.",beckmann;regularity;flux;poisson;parametric;theory,4,"Beckmann's divergence-constrained flux is the continuous twin of the O08 reduced LP. Parametric regularity in the target is precisely the property a conditional GFN-OT would need in order to generalize across (L,R) pairs."
N-OT-05,2602.04308,Statistical Mechanics of the Sub-Optimal Transport,"Riccardo Piombo, Lorenzo Buffa, Dario Mazzilli, Aurelio Patelli","arXiv preprint (comment has no venue, unverified)",preprint,2026,unknown,"Mean-field theory for the Sub-Optimal Transport model, an ensemble of weighted bipartite graphs where a coupling parameter interpolates between entropy-dominated dense couplings and cost-dominated sparse ones; the crossover is smooth, not a phase transition.",graph-ot;statistical-mechanics;entropy-cost-tradeoff;bipartite;mean-field,4,"Gives the physics of the temperature axis that separates O08 (epsilon=0, vertex solutions) from GSBoG and DDSBM (epsilon>0). Useful when we argue that the unregularized regime is a distinct problem rather than a limit case."
N-OT-06,2512.03194,"GRAND: Guidance, Rebalancing, and Assignment for Networked Dispatch in Multi-Agent Path Finding","Johannes Gaber, Meshal Alharbi, Daniele Gammelli, Gioele Zardini","arXiv preprint (comment empty, unverified)",preprint,2025,unknown,GRAND couples a reinforcement-learned GNN policy that predicts a desired agent distribution with a minimum-cost flow rebalancing step and local assignment for multi-agent pickup and delivery.,min-cost-flow;mapf;gnn-policy;rebalancing;hierarchical,3,A working example of the learned-guidance plus min-cost-flow hybrid on a routing graph with a hard latency budget. Sets the bar for what a learned transport policy has to beat operationally.
N-OT-07,2608.27500,Optimal Transport for Network Comparison: A Review with Machine Learning Applications,"James Hyun, Francois G. Meyer","arXiv preprint (comment empty, unverified)",preprint,2026,unknown,"Review of optimal transport for comparing undirected unweighted graphs via Wasserstein, Gromov-Wasserstein and Bures-Wasserstein distances, including how transport plans localize the effect of perturbations.",graph-ot;survey;wasserstein;gromov-wasserstein;bures,3,"Fastest way to map which graph OT distances already exist, so that we do not accidentally reinvent one and so we can pick the right competitor family for each experiment."
N-OT-08,2606.03317,Ollivier-Ricci curvature in cycle overlap mode,"Zexian Zhou, Bo Jiao","arXiv preprint (comment has no venue, unverified)",preprint,2026,https://github.com/hitreasonx/CCOM,"Approximates Ollivier-Ricci curvature by restricting the transport to 3-, 4- and 5-cycles containing the edge, with a greedy pruning algorithm that keeps accuracy while cutting time on large scale-free graphs.",graph-ot;ollivier-ricci;cycles;approximation;scalability,3,A rare graph-OT paper that treats cycles as the computational primitive rather than an obstacle. Relevant because our whole setting is defined by allowing cycles.
N-OT-09,2608.10619,Pair-Centric Graph Rewiring for Over-Squashing via Optimal Transport-Guided Communication Alignment,"Yan Wang, Chuan-Xian Ren","arXiv preprint (comment empty, unverified)",preprint,2026,unknown,PairAlign scores pairwise communication shortage on a graph and uses an optimal transport allocation to spend a limited edge-insertion budget on the pairs whose demand is least supported.,graph-ot;rewiring;over-squashing;budget-allocation;gnn,3,"Uses OT to allocate a budget over node pairs on a graph, which is a discrete transport problem where the cost comes from propagation distance - the same functional form as shortest-path ground cost."
N-OT-10,2511.01443,Efficient Curvature-aware Graph Network,"Chaoqun Fei, Tinglve Zhou, Tianyong Hao, Yangyang Li","arXiv preprint (comment empty, unverified)",preprint,2025,unknown,"Replaces the optimal transport distance in Ollivier-Ricci curvature with effective resistance between node pairs, proving lower complexity and comparable geometric expressiveness.",graph;effective-resistance;curvature;efficiency;substitute,3,"A concrete claim that a spectral surrogate can substitute for graph OT distance. If it holds, some of the applications we would target with GFN-OT are better served by resistance, and we should say where it fails."
